protocol_id,nccp_code,version,title,tumour_group,schedule_available,structured_treatment_phases,structured_treatment_object,phase_count,component_count,selectable_dose_level_groups,modification_pathways,source_url,clinical_validation_authorised
nccp-00238-v6,00238,6,Aflibercept + FOLFIRI,Gastrointestinal,true,true,false,1,5,3,38,https://healthservice.hse.ie/documents/6336/238_v6_Aflibercept_and_FOLFIRI.pdf,false
nccp-00239-v8,00239,8,"EOX: Epirubicin, Oxaliplatin and Capecitabine Therapy",Gastrointestinal,true,false,true,1,3,0,18,https://healthservice.hse.ie/documents/6338/239_EOX.pdf,false
nccp-00240-v8,00240,8,"ECF: Epirubicin, Cisplatin and 5-Fluorouracil Therapy",Gastrointestinal,true,false,true,1,3,0,18,https://healthservice.hse.ie/documents/6343/240_epiRUBicin_CISplatin_5FU_ECF.pdf,false
nccp-00256-v7,00256,7,nab-Paclitaxel + Gemcitabine,Gastrointestinal,true,true,false,1,2,0,8,https://healthservice.hse.ie/documents/6360/256_v7_nab-PACLitaxel_and_Gemcitabine.pdf,false
nccp-00283-v6,00283,6,Gemcitabine 1000 mg/m² Monotherapy – 56 day,Gastrointestinal,true,false,true,1,1,0,9,https://healthservice.hse.ie/documents/8389/283_Gem_Monotherapy_56day.pdf,false
nccp-00321-v9,00321,9,XELOX / CAPOX,Gastrointestinal,true,true,false,1,2,2,31,https://healthservice.hse.ie/documents/6719/321_v9_XELOX_.pdf,false
nccp-00328-v7,00328,7,Cetuximab (7 day) and FOLFIRI (14 day) Therapy,Gastrointestinal,true,false,true,1,4,0,18,https://healthservice.hse.ie/documents/6773/328_Cetuximab_7_days_plus_FOLFIRI_14_Days.pdf,false
nccp-00329-v9,00329,9,FOLFIRINOX,Gastrointestinal,true,true,false,1,5,4,40,https://healthservice.hse.ie/documents/6774/329_v9_FOLFIRINOX.pdf,false
nccp-00330-v6,00330,6,Cetuximab (7 day) and Irinotecan (14 day) Therapy,Gastrointestinal,true,false,true,1,2,0,13,https://healthservice.hse.ie/documents/6785/330_v6_Cetuximab_7days_irinotecan_14_day.pdf,false
nccp-00331-v7,00331,7,Cetuximab (14 day) and Irinotecan (14 day) Therapy,Gastrointestinal,true,false,true,1,2,0,13,https://healthservice.hse.ie/documents/6786/331_v7_Cetuximab_14days_irinotecan_14_day.pdf,false
nccp-00344-v9,00344,9,FLOT Therapy – 14 day,Gastrointestinal,true,false,true,1,4,0,17,https://healthservice.hse.ie/documents/6800/344_FLOT_OGsG2fX.pdf,false
nccp-00380-v6,00380,6,"ECX: Epirubicin, Cisplatin and Capecitabine Therapy",Gastrointestinal,true,false,true,1,3,0,19,https://healthservice.hse.ie/documents/6345/380_v6_ECX_.pdf,false
nccp-00382-v3,00382,3,Lonsurf,Gastrointestinal,true,true,false,1,1,1,9,https://healthservice.hse.ie/documents/6348/382_v3_trifluridine_and_tipiracil_Lonsurf_therapy.pdf,false
nccp-00383-v8,00383,8,Gemcitabine 1000 mg/m² and Cisplatin 25 mg/m² – 21 day,Gastrointestinal,true,false,true,1,2,0,13,https://healthservice.hse.ie/documents/6339/383_v8_GemCis25.pdf,false
nccp-00384-v7,00384,7,Gemcitabine 1000 mg/m² and Capecitabine 650 mg/m² – 21 day,Gastrointestinal,true,false,true,1,2,0,15,https://healthservice.hse.ie/documents/6340/384_v7_Gemcitabine_1000_capecitabine_650_-21day_therapy.pdf,false
nccp-00386-v4,00386,4,Doxorubicin 60 mg/m² Therapy,Gastrointestinal,true,false,true,1,1,0,9,https://healthservice.hse.ie/documents/6342/386_v4_DOXO_60mgm2.pdf,false
nccp-00421-v4,00421,4,5-Fluorouracil Continuous Infusion and Radiotherapy,Gastrointestinal,true,false,true,1,2,0,12,https://healthservice.hse.ie/documents/6460/421_5-Fluorouracil_and_RT.pdf,false
nccp-00422-v5,00422,5,Carboplatin AUC2 and Paclitaxel 50 mg/m² Weekly with Radiotherapy,Gastrointestinal,true,false,true,1,3,0,11,https://healthservice.hse.ie/documents/6461/422_CarboAUC2_Pacli50_plus_RT.pdf,false
nccp-00427-v6,00427,6,Roswell Park Modified 5-Fluorouracil and Folinic Acid,Gastrointestinal,true,false,true,1,2,0,12,https://healthservice.hse.ie/documents/6466/427_Roswell_Park_Modified.pdf,false
nccp-00428-v6,00428,6,QUASAR Modified 5-Fluorouracil and Folinic Acid Weekly,Gastrointestinal,true,false,true,1,2,0,12,https://healthservice.hse.ie/documents/6467/428_QUASAR_Modified_5FU_and_Folinic_Acid.pdf,false
nccp-00429-v7a,00429,7a,"EOF: Epirubicin, Oxaliplatin and 5-Fluorouracil Therapy",Gastrointestinal,true,false,true,1,3,0,17,https://healthservice.hse.ie/documents/6468/429_v7a_epiRUBicin_Oxaliplatin_and_5-Fluorouracil_EOF_-21_day.pdf,false
